keys,en,fr,zh,ja,ko,zh_TW,ru,pl,es,pt,de,tr,it
loc_keys,english,french,schinese,japanese,korean,tchinese,russian,polish,spanish,brazilian,german,turkish,italian
LANGUAGE,English,Français,中文,日本語,한국어,繁体中文,Русский язык,Polski,Español,Português,Deutsch,Türkçe,Italiano
LANGUAGE_EN,English,English,English,English,English,English,English,English,English,English,English,English,English
LANGUAGE_FR,Français,Français,Français,Français,Français,Français,Français,Français,Français,Français,Français,Français,Français
LANGUAGE_ZH,中文,中文,中文,中文,中文,中文,中文,中文,中文,中文,中文,中文,中文
LANGUAGE_JA,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語
LANGUAGE_KO,한국어,한국어,한국어,한국어,한국어,한국어,한국어,한국어,한국어,한국어,한국어,한국어,한국어
LANGUAGE_RU,Русский язык,Русский язык,Русский язык,Русский язык,Русский язык,Русский язык,Русский язык,Русский язык,Русский язык,Русский язык,Русский язык,Русский язык,Русский язык
LANGUAGE_PL,Polski,Polski,Polski,Polski,Polski,Polski,Polski,Polski,Polski,Polski,Polski,Polski,Polski
LANGUAGE_ES,Español,Español,Español,Español,Español,Español,Español,Español,Español,Español,Español,Español,Español
LANGUAGE_PT,Português,Português,Português,Português,Português,Português,Português,Português,Português,Português,Português,Português,Português
LANGUAGE_DE,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch
LANGUAGE_ZH_TW,繁体中文,繁体中文,繁体中文,繁体中文,繁体中文,繁体中文,繁体中文,繁体中文,繁体中文,繁体中文,繁体中文,繁体中文,繁体中文
LANGUAGE_TR,Türk,Türk,Türk,Türk,Türk,Türk,Türk,Türk,Türk,Türk,Türk,Türk,Türk
LANGUAGE_IT,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano
